states_or_union_territories,district,year,murder,rape,kidnapping_and_abduction_of_women_and_girls,kidnapping_and_abduction_of_others,dacoity,robbery,thefts,riots,criminal_breach_of_trust,cheating,arson,hurt_or_grievous_hurt,dowry_deaths,assault_on_women_with_intent_to_outrage_her_modesty,insult_to_modesty_of_women,cruelty_by_husband_or_his_relatives,causing_death_by_negligence,total_ipc_crimes
ANDHRA PRADESH,ADILABAD,2001,101.0,50.0,30.0,16.0,9.0,41.0,199.0,78.0,16.0,104.0,30.0,1131.0,16.0,149.0,34.0,175.0,181.0,4154.0
ANDHRA PRADESH,ANANTAPUR,2001,151.0,23.0,30.0,23.0,8.0,16.0,366.0,168.0,11.0,65.0,69.0,1543.0,7.0,118.0,24.0,154.0,270.0,4125.0
ANDHRA PRADESH,CHITTOOR,2001,101.0,27.0,34.0,25.0,4.0,14.0,723.0,156.0,33.0,209.0,38.0,2088.0,14.0,112.0,83.0,186.0,404.0,5818.0
ANDHRA PRADESH,KADAPA,2001,80.0,20.0,20.0,5.0,1.0,4.0,173.0,164.0,12.0,37.0,23.0,795.0,17.0,126.0,38.0,57.0,233.0,3140.0
ANDHRA PRADESH,EAST GODAVARI,2001,82.0,23.0,26.0,23.0,4.0,25.0,1021.0,70.0,50.0,220.0,41.0,1244.0,12.0,109.0,58.0,247.0,431.0,6507.0
ANDHRA PRADESH,ANANTAPUR,2001,3.0,,,,5.0,2.0,162.0,1.0,,,,1.0,,1.0,,,4.0,287.0
ANDHRA PRADESH,GUNTUR,2001,182.0,54.0,51.0,31.0,16.0,59.0,1122.0,244.0,67.0,300.0,43.0,1792.0,7.0,139.0,129.0,378.0,369.0,7848.0
ANDHRA PRADESH,HYDERABAD,2001,111.0,37.0,39.0,41.0,13.0,67.0,2792.0,65.0,101.0,1293.0,,3137.0,24.0,118.0,27.0,746.0,409.0,11831.0
ANDHRA PRADESH,KARIMNAGAR,2001,162.0,56.0,49.0,18.0,27.0,50.0,392.0,220.0,25.0,243.0,33.0,1392.0,62.0,414.0,81.0,224.0,322.0,5811.0
ANDHRA PRADESH,KHAMMAM,2001,93.0,47.0,30.0,11.0,1.0,13.0,368.0,153.0,35.0,130.0,73.0,1026.0,17.0,180.0,336.0,172.0,209.0,4582.0
ANDHRA PRADESH,KRISHNA,2001,65.0,37.0,21.0,15.0,3.0,15.0,478.0,70.0,24.0,104.0,62.0,1985.0,10.0,208.0,72.0,265.0,268.0,4779.0
ANDHRA PRADESH,KURNOOL,2001,133.0,29.0,47.0,,6.0,22.0,297.0,84.0,6.0,126.0,5.0,1547.0,13.0,141.0,107.0,92.0,292.0,4581.0
ANDHRA PRADESH,MAHBUBNAGAR,2001,157.0,59.0,27.0,15.0,8.0,27.0,316.0,157.0,22.0,84.0,,867.0,14.0,176.0,41.0,69.0,280.0,4819.0
ANDHRA PRADESH,MEDAK,2001,101.0,35.0,20.0,6.0,27.0,26.0,286.0,100.0,17.0,87.0,37.0,1367.0,26.0,100.0,25.0,192.0,335.0,3532.0
ANDHRA PRADESH,NALGONDA,2001,122.0,35.0,19.0,8.0,6.0,28.0,318.0,220.0,13.0,122.0,72.0,1132.0,31.0,188.0,59.0,214.0,432.0,5002.0
ANDHRA PRADESH,NELLORE,2001,89.0,46.0,80.0,10.0,12.0,16.0,608.0,97.0,20.0,177.0,65.0,1119.0,10.0,207.0,228.0,287.0,266.0,5245.0
ANDHRA PRADESH,NIZAMABAD,2001,106.0,21.0,21.0,17.0,7.0,22.0,234.0,51.0,61.0,122.0,30.0,1383.0,19.0,55.0,15.0,228.0,220.0,3621.0
ANDHRA PRADESH,PRAKASAM,2001,102.0,19.0,12.0,19.0,15.0,14.0,278.0,138.0,16.0,88.0,43.0,1266.0,5.0,140.0,100.0,119.0,263.0,3678.0
ANDHRA PRADESH,RANGA REDDY,2001,214.0,72.0,83.0,23.0,24.0,78.0,1296.0,65.0,67.0,527.0,67.0,2829.0,37.0,113.0,55.0,421.0,593.0,9867.0
ANDHRA PRADESH,HYDERABAD,2001,6.0,,,,,10.0,296.0,1.0,2.0,4.0,,17.0,1.0,,1.0,,6.0,439.0
ANDHRA PRADESH,SRIKAKULAM,2001,38.0,8.0,12.0,,1.0,4.0,231.0,70.0,18.0,53.0,34.0,679.0,6.0,38.0,47.0,108.0,167.0,2572.0
ANDHRA PRADESH,KRISHNA,2001,53.0,25.0,48.0,22.0,3.0,27.0,2057.0,19.0,34.0,614.0,17.0,1578.0,2.0,84.0,122.0,520.0,234.0,6733.0
ANDHRA PRADESH,KRISHNA,2001,2.0,1.0,,,,1.0,265.0,1.0,2.0,3.0,,9.0,,1.0,1.0,,2.0,320.0
ANDHRA PRADESH,VISAKHAPATNAM,2001,58.0,12.0,12.0,,4.0,3.0,165.0,138.0,19.0,39.0,31.0,1476.0,3.0,67.0,48.0,99.0,216.0,3183.0
ANDHRA PRADESH,VISAKHAPATNAM,2001,22.0,13.0,6.0,7.0,1.0,5.0,630.0,9.0,37.0,192.0,15.0,325.0,,33.0,462.0,204.0,196.0,3422.0
ANDHRA PRADESH,VIZIANAGARAM,2001,33.0,8.0,2.0,6.0,,2.0,144.0,36.0,11.0,41.0,12.0,529.0,,40.0,22.0,121.0,175.0,2178.0
ANDHRA PRADESH,WARANGAL,2001,158.0,53.0,25.0,56.0,2.0,23.0,418.0,330.0,6.0,137.0,,1718.0,52.0,241.0,,165.0,269.0,6319.0
ANDHRA PRADESH,WEST GODAVARI,2001,77.0,61.0,21.0,20.0,7.0,15.0,1116.0,96.0,63.0,270.0,32.0,972.0,15.0,246.0,56.0,348.0,354.0,5696.0
ARUNACHAL PRADESH,CHANGLANG,2001,11.0,1.0,2.0,1.0,3.0,4.0,24.0,,4.0,3.0,1.0,30.0,,3.0,,,,163.0
ARUNACHAL PRADESH,DIBANG VALLEY,2001,3.0,2.0,4.0,,2.0,5.0,19.0,,3.0,,,27.0,,4.0,,2.0,,139.0
ARUNACHAL PRADESH,KAMENG EAST,2001,3.0,2.0,5.0,2.0,1.0,6.0,26.0,,1.0,1.0,1.0,36.0,,5.0,,,,126.0
ARUNACHAL PRADESH,KAMENG WEST,2001,4.0,,2.0,,1.0,,26.0,,1.0,4.0,,27.0,,,,,,103.0
ARUNACHAL PRADESH,LOHIT,2001,16.0,2.0,6.0,,2.0,8.0,31.0,3.0,5.0,2.0,2.0,40.0,,8.0,,,,190.0
ARUNACHAL PRADESH,PAPUM PARE,2001,11.0,9.0,5.0,10.0,4.0,29.0,109.0,9.0,12.0,8.0,1.0,84.0,,6.0,,3.0,,498.0
ARUNACHAL PRADESH,SIANG EAST,2001,7.0,5.0,7.0,4.0,4.0,8.0,52.0,1.0,4.0,4.0,1.0,58.0,,7.0,,2.0,,243.0
ARUNACHAL PRADESH,SIANG UPPER,2001,1.0,2.0,5.0,,,,9.0,1.0,1.0,,2.0,15.0,,3.0,,,,56.0
ARUNACHAL PRADESH,SIANG WEST,2001,5.0,4.0,10.0,7.0,1.0,10.0,72.0,2.0,5.0,5.0,3.0,71.0,,25.0,2.0,2.0,,361.0
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,8.0,2.0,5.0,1.0,1.0,7.0,25.0,5.0,3.0,2.0,2.0,11.0,,4.0,,,,148.0
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,4.0,2.0,1.0,,3.0,5.0,20.0,2.0,2.0,,,34.0,,8.0,,2.0,,140.0
ARUNACHAL PRADESH,TAWANG,2001,2.0,1.0,,,,,13.0,,,1.0,,3.0,,5.0,1.0,,,48.0
ARUNACHAL PRADESH,TIRAP,2001,8.0,1.0,3.0,3.0,,2.0,17.0,1.0,,,,30.0,,,,,,127.0
ASSAM,BARPETA,2001,64.0,28.0,88.0,17.0,43.0,45.0,187.0,196.0,26.0,29.0,38.0,266.0,10.0,29.0,,95.0,87.0,1778.0
ASSAM,BONGAIGAON,2001,45.0,20.0,21.0,15.0,13.0,25.0,92.0,87.0,4.0,13.0,12.0,67.0,1.0,22.0,,26.0,50.0,810.0
ASSAM,CACHAR,2001,52.0,45.0,74.0,30.0,29.0,42.0,359.0,533.0,29.0,33.0,64.0,286.0,7.0,80.0,,216.0,235.0,3462.0
ASSAM,DARRANG,2001,61.0,48.0,47.0,17.0,21.0,29.0,185.0,100.0,21.0,25.0,16.0,319.0,9.0,56.0,,37.0,66.0,1454.0
ASSAM,DHEMAJI,2001,15.0,42.0,20.0,11.0,2.0,12.0,79.0,13.0,7.0,15.0,16.0,203.0,,26.0,,,20.0,652.0
ASSAM,DHUBRI,2001,65.0,43.0,51.0,18.0,53.0,19.0,83.0,402.0,11.0,24.0,23.0,193.0,5.0,49.0,,111.0,47.0,1505.0
ASSAM,DIBRUGARH,2001,110.0,35.0,37.0,20.0,14.0,29.0,325.0,21.0,13.0,12.0,20.0,351.0,3.0,41.0,,19.0,108.0,1565.0
ASSAM,ASSAM_GRP,2001,13.0,1.0,,3.0,8.0,16.0,135.0,9.0,1.0,,,35.0,,,,,,343.0
ASSAM,GOALPARA,2001,28.0,35.0,35.0,8.0,37.0,13.0,116.0,129.0,8.0,16.0,4.0,51.0,1.0,54.0,,64.0,99.0,873.0
ASSAM,GOLAGHAT,2001,53.0,30.0,40.0,4.0,13.0,27.0,211.0,26.0,3.0,20.0,21.0,135.0,,23.0,,26.0,73.0,1166.0
ASSAM,KAMRUP,2001,71.0,37.0,64.0,65.0,38.0,73.0,736.0,151.0,52.0,72.0,18.0,913.0,5.0,67.0,,98.0,311.0,4373.0
ASSAM,HAILAKANDI,2001,18.0,24.0,34.0,2.0,6.0,8.0,92.0,160.0,6.0,14.0,19.0,60.0,2.0,27.0,,28.0,26.0,820.0
ASSAM,JORHAT,2001,40.0,42.0,28.0,9.0,6.0,27.0,230.0,30.0,21.0,23.0,13.0,134.0,2.0,44.0,,48.0,58.0,1190.0
ASSAM,KAMRUP,2001,37.0,21.0,65.0,30.0,30.0,41.0,275.0,55.0,26.0,50.0,6.0,404.0,2.0,42.0,,27.0,52.0,2011.0
ASSAM,KARBI ANGLONG,2001,65.0,5.0,15.0,23.0,12.0,33.0,79.0,90.0,3.0,11.0,24.0,66.0,4.0,5.0,,8.0,35.0,721.0
ASSAM,KARIMGANJ,2001,32.0,33.0,8.0,34.0,8.0,5.0,114.0,271.0,9.0,8.0,17.0,68.0,1.0,9.0,,30.0,20.0,843.0
ASSAM,KOKRAJHAR,2001,87.0,14.0,12.0,29.0,14.0,10.0,89.0,50.0,3.0,10.0,6.0,156.0,,37.0,,20.0,50.0,776.0
ASSAM,LAKHIMPUR KHIRI,2001,26.0,64.0,62.0,10.0,15.0,47.0,195.0,106.0,25.0,71.0,,386.0,,22.0,,93.0,89.0,1779.0
ASSAM,MORIGAON,2001,20.0,23.0,37.0,2.0,15.0,10.0,66.0,79.0,4.0,7.0,5.0,31.0,,6.0,,28.0,45.0,731.0
ASSAM,NORTH CACHAR HILLS,2001,17.0,2.0,4.0,4.0,4.0,5.0,30.0,4.0,8.0,3.0,3.0,22.0,,2.0,,7.0,16.0,187.0
ASSAM,NAGAON,2001,95.0,51.0,109.0,10.0,59.0,33.0,491.0,267.0,32.0,35.0,41.0,513.0,1.0,113.0,4.0,132.0,194.0,3202.0
ASSAM,NALBARI,2001,79.0,30.0,27.0,26.0,15.0,39.0,119.0,4.0,14.0,18.0,21.0,172.0,3.0,16.0,,15.0,27.0,1194.0
ASSAM,ASSAM_RPO,2001,11.0,3.0,,2.0,13.0,2.0,29.0,13.0,,1.0,,,,,,,,101.0
ASSAM,SIBSAGAR,2001,59.0,47.0,64.0,,3.0,41.0,343.0,50.0,14.0,29.0,21.0,286.0,,28.0,,,82.0,1643.0
ASSAM,SONITPUR,2001,86.0,53.0,80.0,7.0,27.0,21.0,356.0,85.0,22.0,21.0,32.0,451.0,1.0,43.0,,99.0,145.0,2309.0
ASSAM,TINSUKIA,2001,107.0,41.0,48.0,14.0,34.0,35.0,350.0,22.0,12.0,10.0,1.0,237.0,2.0,9.0,,21.0,75.0,1381.0
BIHAR,ARARIA,2001,47.0,93.0,13.0,66.0,39.0,43.0,161.0,375.0,26.0,47.0,3.0,10.0,11.0,3.0,,50.0,26.0,2069.0
BIHAR,ARWAL,2001,37.0,,,13.0,5.0,8.0,24.0,76.0,9.0,7.0,14.0,209.0,7.0,11.0,,14.0,21.0,591.0
BIHAR,AURANGABAD,2001,74.0,16.0,4.0,20.0,19.0,28.0,103.0,155.0,13.0,28.0,3.0,25.0,33.0,13.0,2.0,19.0,82.0,1690.0
BIHAR,WEST CHAMPARAN,2001,34.0,25.0,6.0,50.0,1.0,9.0,115.0,67.0,1.0,15.0,6.0,343.0,,4.0,,2.0,2.0,912.0
BIHAR,BANKA,2001,93.0,34.0,10.0,17.0,49.0,39.0,73.0,196.0,4.0,3.0,4.0,8.0,9.0,,,16.0,,1386.0
BIHAR,BEGUSARAI,2001,124.0,13.0,7.0,46.0,18.0,67.0,265.0,147.0,26.0,26.0,6.0,65.0,21.0,32.0,,21.0,71.0,2628.0
BIHAR,WEST CHAMPARAN,2001,66.0,20.0,23.0,61.0,8.0,32.0,265.0,340.0,35.0,33.0,21.0,842.0,17.0,23.0,,54.0,41.0,2796.0
BIHAR,KAMIPUR,2001,41.0,10.0,12.0,31.0,34.0,26.0,184.0,186.0,8.0,23.0,21.0,92.0,8.0,7.0,,22.0,52.0,1368.0
BIHAR,BHAGALPUR,2001,128.0,35.0,9.0,57.0,22.0,55.0,370.0,171.0,22.0,47.0,13.0,9.0,20.0,15.0,,52.0,53.0,2634.0
BIHAR,BHOJPUR,2001,135.0,22.0,13.0,33.0,32.0,49.0,214.0,240.0,,31.0,,515.0,23.0,,4.0,29.0,102.0,2806.0
BIHAR,BUXAR,2001,56.0,8.0,1.0,33.0,49.0,34.0,179.0,189.0,,57.0,18.0,39.0,15.0,,,,82.0,1674.0
BIHAR,DARBHANGA,2001,53.0,19.0,16.0,23.0,29.0,37.0,103.0,142.0,39.0,31.0,17.0,,37.0,40.0,,34.0,66.0,2572.0
BIHAR,GAYA,2001,200.0,25.0,15.0,51.0,100.0,114.0,416.0,417.0,57.0,79.0,23.0,292.0,26.0,27.0,,24.0,127.0,3182.0
BIHAR,GOPALGANJ,2001,107.0,13.0,18.0,41.0,32.0,73.0,153.0,227.0,45.0,75.0,6.0,42.0,22.0,,2.0,155.0,96.0,2098.0
BIHAR,MUNGER,2001,7.0,1.0,,4.0,9.0,13.0,117.0,,,3.0,,,,1.0,,1.0,4.0,225.0
BIHAR,JAMUI,2001,67.0,10.0,1.0,13.0,22.0,14.0,81.0,134.0,10.0,7.0,1.0,225.0,16.0,8.0,,15.0,14.0,1046.0
BIHAR,JEHANABAD,2001,73.0,6.0,5.0,30.0,15.0,22.0,121.0,170.0,,51.0,,,25.0,,,4.0,,1353.0
BIHAR,KATIHAR,2001,60.0,51.0,20.0,29.0,49.0,30.0,146.0,193.0,26.0,23.0,1.0,64.0,6.0,6.0,,29.0,71.0,1811.0
BIHAR,KATIHAR,2001,7.0,,1.0,2.0,18.0,19.0,221.0,9.0,,9.0,,,,2.0,,,,417.0
BIHAR,KHAGARIA,2001,72.0,5.0,6.0,28.0,6.0,29.0,86.0,167.0,4.0,6.0,1.0,5.0,11.0,6.0,,2.0,59.0,895.0
BIHAR,KISHANGANJ,2001,25.0,22.0,16.0,7.0,19.0,10.0,57.0,116.0,15.0,5.0,8.0,4.0,4.0,2.0,1.0,39.0,16.0,897.0
BIHAR,LAKHISARAI,2001,61.0,10.0,7.0,23.0,9.0,13.0,79.0,93.0,5.0,6.0,4.0,9.0,6.0,12.0,,5.0,33.0,754.0
BIHAR,MADHEPURA,2001,56.0,11.0,15.0,34.0,17.0,31.0,69.0,157.0,11.0,17.0,8.0,4.0,6.0,3.0,,10.0,18.0,1062.0
BIHAR,MADHUBANI,2001,35.0,13.0,11.0,25.0,24.0,17.0,98.0,195.0,11.0,9.0,4.0,615.0,12.0,41.0,,18.0,110.0,2897.0
BIHAR,EAST CHAMPARAN,2001,114.0,44.0,35.0,65.0,30.0,79.0,271.0,365.0,46.0,103.0,23.0,112.0,37.0,3.0,1.0,47.0,36.0,3881.0
BIHAR,MUNGER,2001,51.0,11.0,15.0,30.0,6.0,29.0,157.0,218.0,,29.0,12.0,173.0,8.0,,,39.0,28.0,1758.0
BIHAR,MUZAFFARPUR,2001,153.0,73.0,25.0,88.0,32.0,135.0,538.0,241.0,67.0,94.0,42.0,103.0,69.0,81.0,,141.0,141.0,4212.0
BIHAR,MUZAFFARPUR,2001,13.0,2.0,1.0,4.0,4.0,15.0,313.0,13.0,2.0,20.0,1.0,53.0,,4.0,,1.0,,538.0
BIHAR,NALANDA,2001,208.0,40.0,12.0,114.0,51.0,97.0,412.0,318.0,19.0,34.0,13.0,611.0,47.0,14.0,2.0,54.0,60.0,3479.0
BIHAR,BHAGALPUR,2001,36.0,7.0,9.0,20.0,15.0,18.0,32.0,56.0,5.0,11.0,1.0,52.0,4.0,,,5.0,31.0,570.0
BIHAR,NAWADA,2001,77.0,15.0,1.0,41.0,16.0,31.0,66.0,183.0,9.0,30.0,12.0,282.0,17.0,7.0,,13.0,61.0,1515.0
BIHAR,PATNA,2001,434.0,27.0,11.0,186.0,91.0,414.0,1568.0,506.0,196.0,331.0,54.0,354.0,90.0,47.0,,152.0,178.0,8583.0
BIHAR,PATNA,2001,24.0,1.0,1.0,2.0,18.0,21.0,811.0,11.0,1.0,11.0,,,,9.0,,,3.0,1127.0
BIHAR,PURNEA,2001,104.0,39.0,23.0,41.0,75.0,97.0,227.0,269.0,5.0,28.0,7.0,35.0,8.0,5.0,,22.0,77.0,2054.0
BIHAR,ROHTAS,2001,127.0,25.0,18.0,54.0,78.0,68.0,317.0,391.0,37.0,52.0,27.0,472.0,36.0,21.0,,59.0,376.0,2961.0
BIHAR,SAHARSA,2001,36.0,12.0,10.0,17.0,3.0,15.0,56.0,156.0,22.0,25.0,6.0,229.0,7.0,9.0,,12.0,29.0,1066.0
BIHAR,SAMASTIPUR,2001,107.0,19.0,29.0,46.0,33.0,61.0,247.0,312.0,39.0,33.0,45.0,255.0,11.0,17.0,9.0,35.0,21.0,2853.0
BIHAR,SARAN,2001,137.0,20.0,15.0,50.0,69.0,93.0,246.0,309.0,12.0,14.0,43.0,878.0,67.0,22.0,,101.0,106.0,3442.0
BIHAR,SHEIKHPURA,2001,28.0,3.0,1.0,15.0,16.0,12.0,89.0,136.0,4.0,10.0,3.0,6.0,9.0,,,32.0,15.0,804.0
BIHAR,SHEOHAR,2001,18.0,11.0,7.0,6.0,7.0,8.0,16.0,38.0,,1.0,,,3.0,,,2.0,,428.0
BIHAR,SITAMARHI,2001,51.0,23.0,20.0,14.0,24.0,15.0,132.0,218.0,10.0,41.0,7.0,29.0,13.0,1.0,,21.0,5.0,1797.0
BIHAR,SIWAN,2001,116.0,4.0,26.0,25.0,45.0,100.0,112.0,239.0,13.0,26.0,16.0,47.0,32.0,6.0,,10.0,44.0,1853.0
BIHAR,SUPAUL,2001,41.0,30.0,2.0,24.0,31.0,40.0,129.0,170.0,9.0,8.0,,,7.0,8.0,,18.0,,1672.0
BIHAR,VAISHALI,2001,110.0,20.0,28.0,62.0,22.0,43.0,262.0,295.0,83.0,120.0,8.0,436.0,59.0,52.0,,179.0,49.0,4076.0
CHHATTISGARH,BALRAMPUR,2001,13.0,17.0,1.0,,17.0,11.0,21.0,15.0,,6.0,2.0,30.0,1.0,18.0,,7.0,7.0,235.0
CHHATTISGARH,BILASPUR,2001,99.0,69.0,20.0,,4.0,37.0,690.0,166.0,5.0,23.0,17.0,617.0,7.0,180.0,10.0,94.0,93.0,4353.0
CHHATTISGARH,BIJAPUR,2001,9.0,4.0,,,2.0,6.0,3.0,1.0,,,6.0,11.0,,1.0,,,2.0,86.0
CHHATTISGARH,DANTEWADA,2001,83.0,19.0,8.0,3.0,7.0,5.0,64.0,14.0,1.0,5.0,5.0,116.0,1.0,18.0,1.0,3.0,31.0,739.0
CHHATTISGARH,DHAMTARI,2001,14.0,22.0,4.0,,2.0,,110.0,22.0,3.0,12.0,1.0,127.0,1.0,41.0,5.0,6.0,45.0,996.0
CHHATTISGARH,DURG,2001,76.0,144.0,42.0,15.0,9.0,50.0,893.0,48.0,15.0,91.0,35.0,595.0,12.0,287.0,38.0,231.0,,6544.0
CHHATTISGARH,RAIPUR,2001,2.0,,,,2.0,9.0,197.0,4.0,,2.0,,8.0,,4.0,,1.0,,315.0
CHHATTISGARH,BASTAR,2001,80.0,59.0,4.0,2.0,2.0,23.0,172.0,35.0,9.0,11.0,12.0,216.0,3.0,49.0,2.0,14.0,,1812.0
CHHATTISGARH,JANJGIR-CHAMPA,2001,48.0,29.0,6.0,3.0,2.0,25.0,237.0,105.0,4.0,23.0,23.0,556.0,9.0,110.0,13.0,116.0,56.0,2059.0
CHHATTISGARH,JASHPUR,2001,37.0,36.0,2.0,,5.0,17.0,54.0,13.0,17.0,7.0,8.0,98.0,2.0,41.0,1.0,4.0,24.0,719.0
CHHATTISGARH,KANKER,2001,31.0,42.0,4.0,,3.0,5.0,53.0,23.0,2.0,9.0,3.0,76.0,1.0,36.0,3.0,10.0,26.0,760.0
CHHATTISGARH,KAWARDHA,2001,19.0,35.0,,1.0,1.0,2.0,43.0,10.0,2.0,4.0,4.0,167.0,1.0,45.0,4.0,15.0,12.0,685.0
CHHATTISGARH,KORBA,2001,33.0,46.0,13.0,,,8.0,305.0,67.0,6.0,47.0,7.0,515.0,1.0,90.0,7.0,31.0,67.0,2112.0
CHHATTISGARH,KORIYA,2001,35.0,34.0,7.0,,3.0,6.0,153.0,21.0,3.0,9.0,7.0,163.0,3.0,102.0,2.0,31.0,42.0,1644.0
CHHATTISGARH,MAHASAMUND,2001,18.0,43.0,7.0,,2.0,6.0,146.0,30.0,8.0,27.0,10.0,174.0,6.0,69.0,6.0,21.0,63.0,1185.0
CHHATTISGARH,RAIGARH,2001,50.0,53.0,6.0,,2.0,13.0,173.0,34.0,39.0,17.0,4.0,277.0,2.0,104.0,5.0,22.0,39.0,1650.0
CHHATTISGARH,RAIPUR,2001,92.0,104.0,28.0,10.0,10.0,58.0,953.0,110.0,24.0,64.0,28.0,1259.0,16.0,253.0,42.0,121.0,182.0,6786.0
CHHATTISGARH,RAJNANDGAON,2001,36.0,58.0,3.0,1.0,3.0,15.0,231.0,50.0,10.0,14.0,11.0,142.0,3.0,92.0,12.0,51.0,,2650.0
CHHATTISGARH,SURGUJA,2001,105.0,145.0,16.0,1.0,11.0,42.0,314.0,103.0,6.0,31.0,32.0,330.0,1.0,223.0,10.0,62.0,,3130.0
GOA,NORTH GOA,2001,22.0,4.0,1.0,3.0,5.0,10.0,291.0,33.0,25.0,29.0,10.0,93.0,2.0,12.0,2.0,6.0,110.0,1271.0
GOA,SOUTH GOA,2001,14.0,8.0,5.0,,2.0,15.0,285.0,31.0,14.0,33.0,6.0,81.0,,5.0,5.0,5.0,81.0,1070.0
GUJARAT,AHMEDABAD,2001,90.0,39.0,117.0,26.0,18.0,192.0,3588.0,191.0,140.0,205.0,2.0,1311.0,7.0,54.0,27.0,530.0,,13496.0
GUJARAT,AHMEDABAD,2001,26.0,5.0,27.0,,15.0,25.0,225.0,50.0,20.0,9.0,24.0,482.0,,26.0,,84.0,190.0,2146.0
GUJARAT,AHWA-DANG,2001,6.0,1.0,1.0,1.0,,1.0,8.0,10.0,3.0,4.0,2.0,32.0,,2.0,,2.0,14.0,147.0
GUJARAT,AMRELI,2001,41.0,2.0,34.0,5.0,4.0,25.0,199.0,52.0,15.0,21.0,17.0,363.0,2.0,21.0,,94.0,73.0,2191.0
GUJARAT,ANAND,2001,28.0,3.0,28.0,2.0,10.0,14.0,427.0,63.0,113.0,76.0,22.0,596.0,,27.0,3.0,210.0,150.0,3879.0
GUJARAT,BHARUCH,2001,37.0,4.0,34.0,5.0,13.0,17.0,388.0,44.0,70.0,71.0,22.0,385.0,,19.0,,56.0,180.0,3052.0
GUJARAT,BHAVNAGAR,2001,64.0,9.0,51.0,9.0,5.0,48.0,561.0,113.0,154.0,103.0,25.0,100.0,2.0,36.0,7.0,129.0,,5088.0
GUJARAT,DAHOD,2001,36.0,5.0,15.0,,22.0,44.0,120.0,49.0,26.0,,31.0,394.0,,17.0,,11.0,,1717.0
GUJARAT,GANDHINAGAR,2001,25.0,4.0,12.0,3.0,14.0,22.0,585.0,64.0,37.0,38.0,5.0,430.0,3.0,37.0,7.0,116.0,3.0,3478.0
GUJARAT,SABARKANTHA,2001,55.0,17.0,29.0,2.0,23.0,29.0,191.0,65.0,58.0,52.0,25.0,357.0,4.0,51.0,,165.0,203.0,4013.0
GUJARAT,JAMNAGAR,2001,48.0,20.0,22.0,5.0,2.0,20.0,530.0,34.0,46.0,25.0,13.0,418.0,2.0,18.0,2.0,163.0,,3857.0
GUJARAT,JUNAGADH,2001,56.0,14.0,39.0,7.0,4.0,52.0,547.0,88.0,97.0,122.0,14.0,541.0,11.0,44.0,8.0,384.0,162.0,5186.0
GUJARAT,KHEDA,2001,42.0,11.0,30.0,,9.0,19.0,358.0,63.0,54.0,63.0,21.0,472.0,,43.0,,122.0,184.0,3851.0
GUJARAT,KUTCH,2001,34.0,2.0,22.0,2.0,8.0,11.0,307.0,55.0,19.0,40.0,11.0,467.0,2.0,25.0,1.0,176.0,229.0,3355.0
GUJARAT,MEHSANA,2001,28.0,4.0,49.0,9.0,23.0,45.0,557.0,98.0,47.0,90.0,15.0,1206.0,5.0,47.0,1.0,188.0,152.0,5175.0
GUJARAT,NARMADA,2001,16.0,8.0,8.0,1.0,1.0,,46.0,9.0,3.0,15.0,11.0,96.0,,7.0,1.0,9.0,42.0,536.0
GUJARAT,NAVSARI,2001,26.0,2.0,5.0,1.0,7.0,13.0,120.0,22.0,43.0,19.0,6.0,144.0,,6.0,,17.0,,1404.0
GUJARAT,BANASKANTHA,2001,52.0,18.0,35.0,6.0,13.0,47.0,420.0,94.0,54.0,55.0,21.0,1370.0,2.0,50.0,2.0,152.0,133.0,3887.0
GUJARAT,PANCHMAHAL,2001,56.0,5.0,46.0,,21.0,19.0,313.0,50.0,53.0,34.0,57.0,530.0,,1.0,23.0,43.0,,2535.0
GUJARAT,PATAN,2001,24.0,3.0,21.0,,8.0,19.0,220.0,78.0,52.0,29.0,12.0,422.0,,23.0,,78.0,81.0,2447.0
GUJARAT,PORBANDAR,2001,15.0,6.0,5.0,,,3.0,116.0,8.0,38.0,15.0,5.0,136.0,,10.0,,64.0,37.0,1215.0
GUJARAT,RAJKOT,2001,29.0,5.0,38.0,8.0,5.0,31.0,1245.0,110.0,56.0,71.0,9.0,628.0,3.0,19.0,12.0,199.0,82.0,4774.0
GUJARAT,RAJKOT,2001,30.0,20.0,35.0,5.0,9.0,23.0,378.0,58.0,172.0,44.0,21.0,616.0,2.0,45.0,3.0,206.0,197.0,4402.0
GUJARAT,SURAT,2001,98.0,11.0,37.0,20.0,26.0,59.0,1422.0,127.0,66.0,228.0,10.0,353.0,20.0,10.0,1.0,132.0,167.0,3995.0
GUJARAT,SURAT,2001,62.0,26.0,16.0,7.0,12.0,28.0,219.0,30.0,36.0,33.0,9.0,315.0,,11.0,,34.0,316.0,1766.0
GUJARAT,SURENDRANAGAR,2001,38.0,11.0,24.0,5.0,7.0,13.0,204.0,73.0,45.0,32.0,9.0,522.0,2.0,45.0,3.0,75.0,,3113.0
GUJARAT,VADODARA,2001,34.0,3.0,32.0,3.0,4.0,39.0,997.0,151.0,104.0,182.0,7.0,365.0,,11.0,10.0,90.0,153.0,5047.0
GUJARAT,VADODARA,2001,71.0,18.0,34.0,4.0,15.0,21.0,210.0,34.0,67.0,56.0,10.0,354.0,,34.0,,81.0,170.0,3137.0
